A Control pitcher is a pitcher who by issuing a below average number of bases on balls exhibits good control of his pitches. ,A Control pitcher is a type of pitcher.  They have good control over their pitches by giving out a below average number of bases on balls. ,"(A Control pitcher; is a; pitcher), (A Control pitcher; exhibits; good control of his pitches), (A Control pitcher; issues; below average number of bases on balls)"
After her contract ended she went to a year in the India and lived in a Buddhistic monastery and by the year of 2001 she returned to Israel. ,Her contract ended.  She went to India for a year.  She lived in a Buddhist monastery.  She returned to Israel in 2001. ,"(She; went to; India), (She; lived in; Buddhistic monastery), (She; returned to; Israel)"
"After Pinocchio accidentally sets Lorenzinis theatre on fire, Lorenzini changes career and begins luring unruly children to pleasure island, where they inevitably drink cursed water which turns them into donkeys. ","Pinocchio sets Lorenzini's theater on fire.  Lorenzini changes career paths after the accident. He begins leading unruly children to Pleasure Island. At Pleasure Island, they drink cursed water which transforms them into donkeys. ","(Pinocchio; sets on fire; Lorenzinis theatre), (Lorenzini; lures; unruly children), (unruly children; go to; pleasure island), (unruly children; drink; cursed water), (cursed water; turns; unruly children), (unruly children; are turned into; donkeys), (Lorenzini; changes; career), (Children; drink; cursed water)"
"After the construction of the Dan Ryan Expressway in the 1960s, nearby parks, Hardin Square and Stanford Park, were demolished, residents of Chinatown waited about thirty years for a replacement. ","The Dan Ryan Expressway was constructed in the 1960s.  Hardin Square and Stanford Park, nearby parks, were demolished.  Residents of Chinatown had to wait about thirty years for a replacement park. ","(Stanford Park; was; demolished), (Hardin Square; was; demolished), (The Dan Ryan Expressway; was constructed; in the 1960s), (Residents of Chinatown; waited for; a replacement), (Residents of Chinatown; waited for; 30 years)"
"As a biologic, etanercept is subject to different laws than chemical formulations, and currently the United States does not permit the manufacture of generic biologics. "," Etanercept is a biologic, which is subject to different laws than chemical formulations.  Currently, the United States does not allow the production of generic biologics. ","(etanercept; is subject to; different laws than chemical formulations), (Etanercept; is; a biologic), (Chemical formulations; have; different laws than biologics), (The United States; does not allow; generic biologics to be produced)"
At 14 she joined the adult movie before that she work at the Salon of her young auntie. ,"She joined an adult movie at 14.  Prior to that, she worked in her young auntie's salon. ","(she; joined; the adult movie), (she; was; 14 years old), (she; worked at; the Salon), (the Salon; was owned by; young auntie), (she; is niece of; young auntie), (She; joined; adult movie), (She; joined; adult movie at 14)"
"Belief in the afterlife varies among Wiccans, although reincarnation is a traditional Wiccan teaching dating back to the New Forest coven in the 1930s. ","Beliefs in the afterlife differ among Wiccans.  Reincarnation is a traditional teaching of Wicca, dating back to the New Forest Coven in the 1930s. ","(Belief in afterlife; varies among; Wiccans), (Reincarnation; is a traditional teaching of; Wiccan)"
Carnaval music is often a song written especially for the occasion and is easy to dance to. ,Carnaval music is composed for this holiday.  It is easy to dance to. ,"(Carnaval music; is easy to; dance to), (Carnaval music; is written for; the occasion), (Carnaval music; is easy to; dance)"
"Everett was born in Charleville, Queensland and later moved to Brisbane as a teen and joined a singing group. ","Everett was born in Charleville, Queensland.  He moved to Brisbane as a teen. He joined a singing group there. ","(Everett; born in; Charleville; Queensland), (Everett; later moved to; Brisbane), (Everett; joined; singing group as a teen)"
"Few WikiKnights are ready on day one, ancient scripts tell of apprentices who foolishly challenged a WikiDragon and barely escaped to tell about their misadventure. ","There were only a few WikiKnights ready on day one.  Stories from ancient times tell of apprentices who foolishly challenged a WikiDragon.  Fortunately, they managed to survive and tell others about their dangerous experience. ","(Few WikiKnights; are ready on; day one), (Ancient scripts; tell of; apprentices), (Apprentices; challenged; WikiDragon), (Apprentices; barely escaped; misadventure)"
